household_id,less_preferred_food_days,borrowed_food_days,reduced_meals_days,reduced_portion_days,adults_reduced_for_children_days,basic_needs_met
HH00001,0.0,0.0,0.0,2.0,0.0,Yes mostly
HH00002,6.0,0.0,2.0,6.0,1.0,Yes mostly
HH00003,5.0,2.0,1.0,3.0,3.0,Only some
HH00004,1.0,1.0,2.0,1.0,3.0,Yes mostly
HH00005,7.0,,5.0,3.0,1.0,Only some
HH00006,1.0,5.0,5.0,0.0,3.0,Yes fully
HH00007,1.0,1.0,1.0,0.0,3.0,Yes mostly
HH00008,4.0,3.0,3.0,3.0,1.0,Yes fully
HH00009,0.0,2.0,5.0,4.0,0.0,Yes mostly
HH00010,0.0,3.0,1.0,4.0,0.0,Only some
HH00011,4.0,3.0,2.0,0.0,4.0,Only some
HH00012,7.0,3.0,3.0,4.0,1.0,Only some
HH00013,0.0,1.0,0.0,0.0,4.0,Yes mostly
HH00014,5.0,5.0,2.0,5.0,1.0,Yes mostly
HH00015,4.0,1.0,0.0,0.0,3.0,No
HH00016,0.0,0.0,1.0,0.0,1.0,Yes fully
HH00017,1.0,0.0,0.0,3.0,3.0,Yes fully
HH00018,3.0,0.0,4.0,5.0,4.0,Yes fully
HH00019,5.0,2.0,5.0,5.0,3.0,No
HH00020,1.0,4.0,1.0,4.0,0.0,No
HH00021,3.0,0.0,0.0,1.0,2.0,Yes mostly
HH00022,,0.0,2.0,6.0,1.0,Yes fully
HH00023,5.0,3.0,0.0,,1.0,Only some
HH00024,1.0,3.0,2.0,2.0,4.0,Yes mostly
HH00025,5.0,3.0,3.0,5.0,4.0,Yes fully
HH00026,6.0,0.0,2.0,4.0,4.0,Yes mostly
HH00027,4.0,1.0,3.0,5.0,4.0,Yes mostly
HH00028,5.0,2.0,3.0,5.0,2.0,Yes mostly
HH00029,1.0,4.0,0.0,6.0,2.0,Only some
HH00030,7.0,3.0,4.0,3.0,2.0,Only some
HH00031,2.0,4.0,4.0,5.0,3.0,Only some
HH00032,1.0,3.0,0.0,1.0,0.0,Yes fully
HH00033,4.0,2.0,2.0,1.0,4.0,Yes fully
HH00034,3.0,3.0,1.0,0.0,4.0,No
HH00035,3.0,2.0,2.0,1.0,4.0,Yes fully
HH00036,6.0,0.0,4.0,0.0,2.0,Yes mostly
HH00037,4.0,3.0,3.0,5.0,2.0,Yes fully
HH00038,2.0,1.0,5.0,3.0,2.0,Yes mostly
HH00039,6.0,1.0,3.0,3.0,3.0,Yes mostly
HH00040,3.0,4.0,0.0,4.0,1.0,Yes mostly
HH00041,7.0,0.0,4.0,2.0,3.0,Only some
HH00042,7.0,0.0,0.0,3.0,2.0,Yes mostly
HH00043,3.0,2.0,2.0,0.0,1.0,Only some
HH00044,6.0,3.0,5.0,4.0,3.0,Only some
HH00045,,5.0,5.0,6.0,1.0,Yes mostly
HH00046,6.0,3.0,0.0,0.0,0.0,Only some
HH00047,3.0,1.0,5.0,0.0,2.0,No
HH00048,3.0,2.0,5.0,0.0,2.0,Yes fully
HH00049,,2.0,5.0,4.0,1.0,Only some
HH00050,4.0,2.0,4.0,5.0,0.0,Only some
HH00051,4.0,4.0,0.0,5.0,2.0,Only some
HH00052,3.0,4.0,0.0,5.0,3.0,Yes fully
HH00053,2.0,4.0,3.0,4.0,4.0,Yes fully
HH00054,3.0,2.0,0.0,4.0,1.0,Yes mostly
HH00055,4.0,1.0,1.0,1.0,2.0,Yes fully
HH00056,1.0,0.0,5.0,5.0,4.0,Yes mostly
HH00057,5.0,4.0,5.0,1.0,1.0,No
HH00058,6.0,5.0,1.0,6.0,2.0,Yes mostly
HH00059,2.0,0.0,3.0,0.0,3.0,Yes mostly
HH00060,3.0,0.0,3.0,6.0,2.0,Yes mostly
HH00061,0.0,1.0,1.0,3.0,4.0,Yes mostly
HH00062,4.0,,1.0,4.0,1.0,Only some
HH00063,3.0,1.0,2.0,1.0,,Only some
HH00064,6.0,0.0,3.0,2.0,2.0,Yes mostly
HH00065,7.0,2.0,4.0,6.0,3.0,Yes mostly
HH00066,6.0,2.0,5.0,0.0,1.0,Yes fully
HH00067,1.0,2.0,0.0,1.0,1.0,No
HH00068,1.0,3.0,3.0,4.0,1.0,Yes mostly
HH00069,3.0,1.0,3.0,5.0,1.0,Yes mostly
HH00070,4.0,0.0,0.0,3.0,0.0,Yes mostly
HH00071,0.0,0.0,5.0,0.0,4.0,Yes fully
HH00072,3.0,4.0,3.0,1.0,1.0,Yes mostly
HH00073,0.0,3.0,4.0,6.0,1.0,No
HH00074,,1.0,3.0,1.0,4.0,Yes fully
HH00075,2.0,5.0,2.0,4.0,3.0,Yes mostly
HH00076,0.0,3.0,1.0,6.0,1.0,Yes mostly
HH00077,2.0,4.0,2.0,2.0,1.0,Yes mostly
HH00078,5.0,4.0,4.0,0.0,4.0,No
HH00079,7.0,1.0,3.0,5.0,1.0,Only some
HH00080,6.0,3.0,3.0,5.0,4.0,No
HH00081,2.0,3.0,0.0,4.0,3.0,No
HH00082,7.0,2.0,0.0,6.0,3.0,Only some
HH00083,3.0,3.0,4.0,5.0,2.0,Only some
HH00084,2.0,2.0,5.0,4.0,0.0,Yes mostly
HH00085,6.0,0.0,2.0,2.0,4.0,Only some
HH00086,3.0,0.0,2.0,0.0,2.0,Only some
HH00087,5.0,2.0,5.0,5.0,0.0,Only some
HH00088,1.0,5.0,1.0,5.0,4.0,Yes mostly
HH00089,2.0,1.0,3.0,4.0,1.0,Only some
HH00090,7.0,3.0,0.0,4.0,1.0,Yes fully
HH00091,1.0,0.0,1.0,5.0,3.0,Only some
HH00092,6.0,3.0,2.0,1.0,1.0,Yes mostly
HH00093,3.0,1.0,4.0,0.0,0.0,Yes mostly
HH00094,7.0,2.0,1.0,4.0,1.0,Yes mostly
HH00095,3.0,4.0,2.0,6.0,3.0,Only some
HH00096,3.0,2.0,1.0,0.0,2.0,Only some
HH00097,3.0,5.0,0.0,0.0,3.0,Yes mostly
HH00098,1.0,0.0,4.0,4.0,0.0,Yes mostly
HH00099,6.0,0.0,4.0,2.0,1.0,Yes fully
HH00100,4.0,1.0,3.0,6.0,1.0,Yes fully
HH00101,4.0,1.0,3.0,3.0,0.0,Yes mostly
HH00102,2.0,2.0,0.0,3.0,3.0,Only some
HH00103,6.0,5.0,3.0,0.0,1.0,Only some
HH00104,2.0,1.0,4.0,6.0,2.0,Yes mostly
HH00105,1.0,2.0,2.0,2.0,4.0,No
HH00106,0.0,0.0,4.0,3.0,1.0,Yes mostly
HH00107,6.0,4.0,1.0,4.0,0.0,Only some
HH00108,0.0,3.0,3.0,6.0,4.0,Yes mostly
HH00109,6.0,0.0,2.0,5.0,1.0,Only some
HH00110,3.0,2.0,5.0,5.0,1.0,Yes mostly
HH00111,0.0,1.0,1.0,0.0,3.0,Yes fully
HH00112,7.0,2.0,1.0,0.0,0.0,Yes mostly
HH00113,5.0,1.0,4.0,5.0,1.0,Only some
HH00114,5.0,4.0,0.0,6.0,0.0,No
HH00115,4.0,0.0,3.0,4.0,4.0,Only some
HH00116,6.0,3.0,0.0,6.0,1.0,Only some
HH00117,1.0,4.0,3.0,2.0,2.0,Yes fully
HH00118,1.0,0.0,1.0,2.0,2.0,Only some
HH00119,4.0,5.0,1.0,1.0,2.0,Only some
HH00120,5.0,4.0,2.0,5.0,0.0,Yes mostly
HH00121,4.0,1.0,1.0,4.0,1.0,Yes mostly
HH00122,3.0,2.0,0.0,1.0,4.0,Yes fully
HH00123,5.0,4.0,3.0,6.0,2.0,Yes fully
HH00124,0.0,3.0,3.0,0.0,4.0,Yes fully
HH00125,4.0,4.0,3.0,5.0,2.0,Only some
HH00126,3.0,5.0,5.0,1.0,1.0,Only some
HH00127,3.0,2.0,4.0,5.0,1.0,Yes fully
HH00128,1.0,0.0,4.0,3.0,3.0,No
HH00129,7.0,2.0,3.0,1.0,1.0,Only some
HH00130,6.0,3.0,4.0,0.0,2.0,Only some
HH00131,7.0,4.0,4.0,4.0,4.0,No
HH00132,6.0,1.0,3.0,1.0,4.0,No
HH00133,5.0,5.0,3.0,3.0,1.0,Yes mostly
HH00134,2.0,0.0,4.0,6.0,1.0,No
HH00135,0.0,3.0,5.0,6.0,3.0,Yes mostly
HH00136,4.0,2.0,2.0,3.0,3.0,Yes fully
HH00137,7.0,4.0,1.0,5.0,3.0,Yes mostly
HH00138,2.0,1.0,2.0,5.0,0.0,Only some
HH00139,7.0,5.0,0.0,4.0,2.0,No
HH00140,1.0,0.0,1.0,1.0,0.0,Yes mostly
HH00141,2.0,4.0,5.0,5.0,4.0,Only some
HH00142,5.0,2.0,0.0,0.0,4.0,Yes mostly
HH00143,3.0,3.0,5.0,3.0,3.0,Only some
HH00144,6.0,,3.0,5.0,1.0,Yes fully
HH00145,2.0,2.0,1.0,3.0,3.0,Only some
HH00146,6.0,2.0,2.0,2.0,2.0,Only some
HH00147,2.0,1.0,5.0,2.0,3.0,Yes fully
HH00148,1.0,,0.0,3.0,1.0,No
HH00149,4.0,2.0,3.0,5.0,2.0,No
HH00150,4.0,2.0,1.0,6.0,4.0,Yes mostly
HH00151,4.0,4.0,3.0,5.0,0.0,Only some
