household_id,state_region,township,household_size,monthly_income,has_debt,total_debt,monthly_debt_repayment,savings_duration_weeks,market_access,female_headed_household,disability_present,displacement_status
HH00001,Magway,Magway,6,610149.0,yes,851624,150329,1,Yes,No,No,IDP
HH00002,Ayeyarwady,Pathein,8,284061.0,Yes,801819,95454,4,No,No,No,Resident
HH00003,Shan North,Lashio,4,50000.0,No,0,0,2,Unknown,No,No,Resident
HH00004,Kayin,Hpa-An,4,101947.0,Yes,667989,60245,2,Yes,No,No,Resident
HH00005,Kayin,Myawaddy,6,675893.0,Yes,593253,81094,1,N,No,No,Returnee
HH00006,Mon,Mawlamyine,5,347774.0,no,0,0,1,No,No,No,Resident
HH00007,Magway,Minbu,6,284870.0,No,0,0,8,No,Yes,Yes,Resident
HH00008,Shan North,Muse,4,715679.0,No,0,0,3,Yes,No,No,Resident
HH00009,Mandalay,Myingyan,3,647729.0,Yes,1251335,64213,0,Yes,No,No,Resident
HH00010,Magway,Minbu,6,424401.0,no,0,0,8,Yes,No,No,Resident
HH00011,Rakhine,Mrauk-U,3,367187.0,Yes,668414,36058,2,Yes,Yes,No,IDP
HH00012,Tanintharyi,Dawei,3,396222.0,N,0,0,1,Yes,No,No,Resident
HH00013,Ayeyarwady,Myaungmya,5,460889.0,Yes,900821,136501,1,No,No,No,Resident
HH00014,Ayeyarwady,Pathein,6,708009.0,Yes,1218574,84151,3,No,No,No,Resident
HH00015,Ayeyarwady,Pathein,7,496044.0,Y,851024,68090,1,Yes,No,No,Resident
HH00016,Bago,Taungoo,4,550685.0,Yes,834807,89128,2,No,No,No,Resident
HH00017,Rakhine,Mrauk-U,2,630469.0,Y,670393,81199,3,N,No,No,Resident
HH00018,Magway,Pakokku,8,209458.0,Yes,808173,61763,0,No,Yes,No,Resident
HH00019,Bago,Pyay,3,555875.0,N,0,0,8,Y,No,No,Resident
HH00020,Kayin,Myawaddy,3,366978.0,N,0,0,1,No,No,No,IDP
HH00021,Rakhine,Kyaukphyu,4,50000.0,N,0,0,1,Yes,No,No,Resident
HH00022,Kayah,Hpruso,5,50000.0,Yes,565126,151831,3,Yes,Yes,No,Resident
HH00023,Mandalay,Mandalay,7,236739.0,N,0,0,2,N,Yes,No,IDP
HH00024,Mon,Mawlamyine,6,515620 MMK,no,0,0,1,No,No,No,Resident
HH00025,Ayeyarwady,Hinthada,6,440484.0,Yes,1598691,20803,3,Y,No,No,IDP
HH00026,Shan North,Lashio,3,453186.0,Yes,209185,31928,8,Unknown,No,No,Returnee
HH00027,Kayah,Loikaw,4,771170.0,yes,613849,115310,4,Yes,Yes,No,IDP
HH00028,Bago,Bago,5,191564.0,Yes,856939,82741,4,Yes,No,No,Resident
HH00029,Rakhine,Sittwe,3,415062.0,Y,835127,43856,1,No,No,Yes,IDP
HH00030,Kayin,Kawkareik,4,474798.0,N,0,0,1,Yes,No,No,Resident
HH00031,Kayin,Hpa-An,4,287471.0,Yes,564557,74096,2,No,No,Yes,Resident
HH00032,Chin,Hakha,3,425099.0,Y,95524,22741,0,Y,No,No,Returnee
HH00033,Magway,Minbu,5,132009.0,Y,257452,109385,4,No,No,No,Resident
HH00034,Rakhine,Sittwe,6,673783.0,Yes,735874,102498,1,Yes,Yes,No,IDP
HH00035,Mon,Ye,2,297309.0,yes,20000,8239,1,No,No,No,Resident
HH00036,Sagaing,Monywa,5,785652.0,Yes,882125,5000,1,Yes,No,No,Resident
HH00037,Mon,Mawlamyine,6,414155.0,No,0,0,1,N,No,No,Resident
HH00038,Bago,Bago,6,605050.0,yes,1078620,5000,1,Yes,Yes,No,IDP
HH00039,Chin,Matupi,6,410405.0,Yes,945171,35014,2,Y,Yes,No,Resident
HH00040,Shan South,Pekon,4,414466.0,yes,1017116,219367,2,Yes,No,No,IDP
HH00041,Mandalay,Kyaukse,7,314875.0,Yes,20000,106292,1,Yes,Yes,Yes,Resident
HH00042,Ayeyarwady,Pathein,3,441442.0,No,0,0,1,Yes,Yes,No,IDP
HH00043,Shan North,Lashio,4,477240.0,Yes,20000,94205,4,Yes,Yes,No,Resident
HH00044,Kachin,Bhamo,3,278833.0,Y,577630,80840,0,Yes,No,No,IDP
HH00045,Sagaing,Monywa,5,397492.0,N,0,0,2,Y,Yes,Yes,Resident
HH00046,Tanintharyi,Myeik,4,310182.0,yes,330910,110124,2,Y,Yes,No,Resident
HH00047,Kayin,Kawkareik,3,,no,0,0,2,Yes,Yes,Yes,IDP
HH00048,Mon,Ye,6,403848.0,Y,143075,130874,8,No,No,No,Resident
HH00049,Shan North,Muse,4,698142.0,N,0,0,2,Y,Yes,No,Resident
HH00050,Ayeyarwady,Pathein,4,384788.0,Y,506762,11879,12,Y,Yes,No,IDP
HH00051,Ayeyarwady,Pathein,3,466672.0,yes,1208228,71970,8,Yes,No,No,IDP
HH00052,Mandalay,Myingyan,4,182154.0,Y,1317673,129961,1,Yes,No,No,IDP
HH00053,Kayah,Demoso,4,339527.0,yes,370649,71175,1,N,Yes,No,IDP
HH00054,Kayin,Myawaddy,4,457896.0,Yes,692363,143684,1,Yes,No,No,IDP
HH00055,Kayin,Myawaddy,3,705481.0,No,0,0,1,Yes,Yes,No,Resident
HH00056,Sagaing,Monywa,6,459957.0,N,0,0,2,No,No,No,Resident
HH00057,Rakhine,Kyaukphyu,8,,Yes,803131,82933,1,Yes,No,No,IDP
HH00058,Mandalay,Myingyan,5,535331.0,Yes,580042,72725,1,Y,No,No,Resident
HH00059,Ayeyarwady,Myaungmya,5,712932.0,no,0,0,1,Yes,No,No,Resident
HH00060,Shan North,Laukkaing,7,409372.0,No,0,0,3,No,No,No,Resident
HH00061,Mon,Mawlamyine,9,850240.0,Yes,1106607,75167,3,Unknown,Yes,Yes,Resident
HH00062,Ayeyarwady,Pathein,5,332629.0,No,0,0,12,Unknown,No,No,IDP
HH00063,Kayah,Loikaw,7,282037.0,No,0,0,1,N,No,No,Resident
HH00064,Tanintharyi,Kawthaung,7,202190.0,Y,511751,49597,1,N,No,No,IDP
HH00065,Kayah,Demoso,6,839584.0,no,0,0,12,Yes,Yes,No,IDP
HH00066,Kachin,Bhamo,5,567501.0,no,0,0,3,Unknown,No,No,Resident
HH00067,Mon,Ye,2,359858.0,Y,456182,11906,2,N,No,No,Resident
HH00068,Kayah,Demoso,1,644824.0,Y,387369,142429,2,No,No,No,Resident
HH00069,Magway,Minbu,5,543785.0,No,0,0,0,Yes,No,No,Resident
HH00070,Kayin,Kawkareik,5,773903.0,yes,577690,106699,8,Yes,No,No,Resident
HH00071,Bago,Bago,4,141390.0,Yes,20000,100574,2,No,No,Yes,Resident
HH00072,Mandalay,Kyaukse,5,372235.0,Yes,593527,53335,2,No,No,No,IDP
HH00073,Kayin,Kawkareik,5,336746.0,no,0,0,2,Yes,No,No,Resident
HH00074,Magway,Minbu,7,64737.0,yes,713336,52688,1,Yes,No,No,Resident
HH00075,Shan North,Lashio,2,610859.0,Yes,20000,116501,1,No,Yes,No,Resident
HH00076,Kayin,Hpa-An,3,371329.0,Y,735056,60873,4,Yes,Yes,No,IDP
HH00077,Kachin,Bhamo,6,553134.0,No,0,0,2,Unknown,No,Yes,Resident
HH00078,Chin,Matupi,7,844759.0,No,0,0,0,Yes,No,No,Resident
HH00079,Rakhine,Sittwe,9,356416.0,Yes,311835,8856,1,Yes,Yes,Yes,IDP
HH00080,Shan North,Muse,7,344192.0,Yes,728362,147605,8,Yes,No,No,Resident
HH00081,Tanintharyi,Dawei,7,441360.0,Y,721108,12776,1,Y,No,No,Resident
HH00082,Kayin,Hpa-An,4,597705.0,No,0,0,1,Y,No,No,Resident
HH00083,Mandalay,Kyaukse,4,317992.0,Y,728791,72600,2,Yes,Yes,No,IDP
HH00084,Bago,Pyay,4,306427.0,Yes,952415,102303,4,Yes,No,No,IDP
HH00085,Shan South,Pekon,5,610294.0,no,0,0,3,Yes,No,No,Resident
HH00086,Shan North,Lashio,8,488155.0,Y,20000,99536,8,Yes,Yes,No,IDP
HH00087,Magway,Minbu,4,51949.0,yes,298782,11022,0,No,No,No,IDP
HH00088,Kachin,Myitkyina,5,199429.0,Yes,584034,93494,8,Yes,No,No,IDP
HH00089,Ayeyarwady,Myaungmya,4,690222.0,Y,75743,106706,8,No,No,No,IDP
HH00090,Bago,Bago,3,492347.0,yes,917169,77114,2,Yes,No,No,IDP
HH00091,Kayin,Kawkareik,3,282805.0,No,0,0,2,Yes,Yes,No,Resident
